k,peak_data
5,"[452.5854305875922, 777.4337473709868, 681.5189647968205, 691.0956006544752, 1605.7554593448306, 452.4274872992333, 1049.5430844900459, 1242.0232867816965, 987.6932271903305, 965.2354674275135, 451.5920739101867, 1212.4705613284395, 891.2282360438819, 904.3390125976349, 423.7664915116909, 768.0925460857228, 414.8874438780745, 3005.61780011101, 253.45577402055443, 1404.3437069986794, 1806.3740458802013, 2134.9499655433797, 616.1444910182124, 699.4657606566752, 1385.4503160577049, 682.188100190264, 721.1749860076878, 868.7660467315309, 1015.428335019578, 1252.7610197996744, 885.9291124426651, 431.2852378316303, 1611.9399595814443, 443.19875551202557, 1151.531995325166, 952.4150296110437, 602.9262322833202, 1595.4647095937398, 461.2282124723265, 768.7324915541386, 774.5837177426732, 1387.240389480751, 1028.9115025315689, 981.9220005792343, 362.57475412182566, 718.9666143971641, 1488.6727945256089, 1594.4617331066759, 888.3392889105122, 309.99358955795043, 873.3277493874172, 469.11520432224046, 617.361518478166, 859.17204245716, 828.4763529428103, 691.9677406581761, 340.49630044835175, 1269.087037954844, 614.224600110554, 498.60724059518253, 529.8528302364498, 760.4042999643658, 506.6261363197028, 350.7185440585585, 315.0768895601086, 1173.6940274995713, 1704.369525029352, 1063.2741338966166, 1374.3872485757686, 369.0419996678364, 1314.721025005664, 458.5702556248382, 1505.5345211748768, 975.5824853756958, 1193.2264917195873, 1496.4277562741943, 479.3425092096229, 1089.715621022994, 915.0136805939081, 687.4986607275536, 1156.2194974129745, 1371.4582483514864, 440.9892555094099, 1110.4190399750905, 484.5132702344702, 1346.7050187697635, 922.5514112658198, 217.06149342586357, 687.0127844003887, 824.5164844134097, 698.2134898431653, 1000.7459555388367, 2023.5644345991946, 1609.7046263248485, 881.2297732476711, 1053.6789431739107, 968.5753769368822, 1418.4524586013565, 1318.561846122188, 986.1319782078749, 707.4967775635623, 1588.8932921264295, 682.1412965815913, 716.5742394863628, 612.6693590921054, 1047.4172501953392, 1312.5587548769406, 678.5662299852312, 470.0244433812235, 1210.3272158747257, 1228.4691838809927, 289.95035441819385, 625.3594813009329, 801.8397752544016, 589.505267134407, 420.29691256127427, 615.346200019256, 778.9272600660687, 1111.4647034588907, 1050.421400245697, 1219.0490681180586, 634.9304780472047, 289.45824175784617, 749.2195203543724, 861.0042369794847, 430.4840053146123, 1162.8102008828973, 859.2283375484199, 1126.9395377500507, 475.13998441642525, 1323.1667882783809, 1521.7575225439004, 720.8681953280094, 166.59635314135843, 851.8606375834257, 517.7338127030742, 298.2956992888175, 458.3561056232393, 456.02761235549224, 293.6834791760229, 1454.5312288814268, 913.9130138115478, 1372.4500391230158, 430.8144053261429, 1048.6230162047302, 2018.2203636465815, 1503.2179787561943, 1010.4369094381404, 408.1560692492227, 2102.616810266191, 873.2575488900044, 915.1512377902011, 1195.2363620973385, 394.0551403909454, 586.5854909421208, 1221.7902802862457, 651.0584589312698, 950.4420141939192, 717.3016496725045, 584.2450084957579, 989.794472578971, 783.289111462779, 307.48472217200475, 931.48047261609, 919.9249503111303, 806.2948882578855, 1730.9427755949444, 1116.156519351292, 773.8008125765131, 299.9030587174453, 813.1232756320017, 949.2042363915734, 564.7702653398964, 968.8265181950591, 1281.6594625996267, 1020.4199719980702, 1780.1474996185489, 1419.5262506960219, 895.1164124772621, 776.9005083998893, 530.1049998690479, 290.0680750839013, 514.4827112508185, 1601.5882335001588, 696.5460205621664, 662.2672753339845, 742.0924500916292, 1131.4535372824253, 708.6370059736686, 1363.3810188044938, 586.4725333362792, 463.681048787708, 1041.046484109216, 595.6895423178486, 774.3410175477129, 977.1732743978705, 530.8611657200042, 972.406247231406, 658.648991764608, 659.8362581417583]"
10,"[823.9701683786113, 1456.395779569606, 590.6424973936938, 642.2789332111021, 1329.2274354659965, 980.3586222771036, 970.2420485773522, 878.2418031774976, 1112.7151774252236, 882.1248290190834, 850.24451900106, 794.7263339633065, 1244.2717775400965, 1001.3182795338811, 1321.300483055037, 924.759017985972, 776.2886901175966, 766.3328657113648, 994.0405598249615, 1368.7533500944655, 773.6191832083802, 1399.4232663917508, 1716.1086926406563, 970.8765742752493, 947.6215474118394, 1154.2696419267832, 957.982684341356, 698.3611121979532, 1380.7110321461278, 1391.503750724211, 913.8097258803615, 1301.0838383776525, 418.5458950404419, 1374.6621763128442, 980.7483408669129, 1019.5309759190096, 747.9540873646316, 713.1194663761958, 613.2473577872014, 545.3053118189285, 973.7566991407871, 634.8592926655698, 821.2196794549824, 1193.1300223864582, 1504.2517344054713, 1102.7092566898316, 1164.9718846285418, 727.5952721161075, 690.0231414515828, 617.9351576238819, 501.25197994314846, 749.1258314636643, 1107.674734335115, 862.3098038558525, 454.73467229517695, 1262.73290428185, 781.9405999546472, 1052.682771121606, 1182.7508022745262, 1410.879401904427, 805.4936681535806, 526.7544025258211, 1292.4608916321, 1348.6366920805112, 870.0942474537064, 1011.7731068748485, 880.5440304329335, 1182.4820864161645, 661.1575044115912, 948.1391414990279, 1476.6311684535424, 1177.2556242594812, 1083.9376862644585, 530.9365745933, 1309.299407476391, 1131.363183717559, 1370.9260320425453, 1306.640942325411, 856.0101128956245, 1044.8025665075934, 718.659499601369, 1830.9874308498852, 1489.1336899522298, 509.79652375620486, 729.967527142515, 915.6514279810253, 894.0424082203215, 845.4999374625735, 1029.0316676930127, 689.2845015370837, 713.4099223733929, 1153.7059519085983, 908.7520781404218, 775.5058515968668, 320.02750548421517, 731.6215087863197, 913.2829844094696, 1478.3766817371045, 780.4638261159145, 1220.7432042800167, 901.2018437915682, 970.1877207062996, 852.4443093365114, 715.174322518716, 905.5028026235409, 730.8893274044768, 1244.0938080012436, 537.6793116070273, 880.4225418442292, 955.8591052604986, 1143.9549249089607, 985.1099124226484, 1077.8631164304488, 755.8511409686221, 911.3804606093477, 1215.510824891442, 1154.8094253158358, 654.2090167432284, 1178.402545141033, 499.18682066057636, 1025.9791429003662, 575.1565109825959, 952.6402368963808, 510.31940739240366, 979.2527659395016, 613.4785021379176, 1106.6547879375112, 1266.0774445176496, 1254.6906480104392, 867.4802433287407, 1145.2377858129432, 758.0712999781455, 689.2920245827522, 772.033975590002, 802.3730164829683, 1360.5648410079928, 1818.4611350077744, 851.5691232101474, 1169.3849383690497, 948.7157361746537, 1202.733814293081, 990.8894827750162, 808.4723126882546, 555.9287389298308, 860.3718566152613, 694.900565629133, 1060.7500943826626, 965.8557774847667, 1049.4712953924725, 1015.9708772666157, 875.6063013111341, 511.8849734782803, 905.4106094778311, 1011.5327442421287, 1018.6011281419236, 1836.6222123593761, 1176.6259741730364, 624.5629668375742, 480.39362942784766, 732.4404220971838, 1110.1889025365099, 1428.5037582314492, 1330.7245054256937, 770.1769843383446, 1144.8299353600687, 1051.7537263289896, 535.3886382554732, 1128.7789183098555, 1094.539832157063, 748.5453490588397, 982.6734054331323, 1224.3404074979132, 440.03553767025494, 838.3296921859221, 688.3356599409531, 784.3204421488283, 647.0296822982481, 1865.4596677916131, 468.25924800160675, 1019.6879425557881, 682.3383638884743, 1191.1641685740817, 1098.184228394086, 872.5764569575803, 517.955089687802, 840.0696097280043, 788.9154518689321, 1882.0496286807052, 1201.6528707074744, 894.7065857672613, 869.282946793466, 942.299350492726, 636.7685668086664, 676.8415674271907, 1379.0789042686729, 769.3943602531052, 814.9695231734947, 1102.3934175901372, 865.9054642751319, 1015.4367643536523]"
20,"[1585.4783775197552, 978.9203566706959, 1140.3551570022507, 1105.6350681546198, 1107.9405986862735, 875.1241498917379, 1038.53497894006, 1004.7437978229403, 1270.2619853642248, 1039.9550835551893, 1260.9913105467915, 811.1117498396013, 972.2933131985401, 893.9621282544615, 765.612236516996, 979.1189156880315, 839.8540022404497, 871.1786596798527, 838.2358789033245, 1219.1523943874183, 1062.8043165604313, 1318.7380194375462, 803.7704574975031, 1137.4267749877297, 1093.1913971084166, 973.1568002442181, 1162.077565867963, 638.1168353233419, 1180.2057063795278, 1067.2082750783948, 1096.0785079210707, 1198.919085473523, 1024.3033799824302, 1057.433087480096, 1074.7110704786771, 856.3387532029423, 1244.0788085611584, 743.8525204633848, 916.7624403399066, 1039.2703398615706, 1034.71818616343, 1083.332256912146, 1456.196333449044, 736.7456085793517, 867.6360727837142, 902.9537200632077, 1194.7165861637682, 537.9428880104372, 1053.8962343237006, 1000.9574436899096, 1156.8218917075253, 647.8652092094414, 777.3458192852867, 892.7698075188304, 1124.543175502923, 985.9979446642099, 895.152120641377, 1013.3637339427693, 1131.9423930765483, 825.8480805795458, 1022.3041443160015, 888.2483060922738, 1206.3521588510955, 969.0146710650906, 1025.7373767832855, 822.5037433999684, 996.6784115277882, 1038.8603000693795, 954.3926434386145, 1330.930928248312, 910.8208315382411, 755.2439031738728, 684.5633449171462, 992.9420133364517, 806.5334207726632, 900.6513536243548, 1331.7637829010705, 961.0778505009825, 919.2397030684696, 947.6576554010923, 1021.6911907674535, 961.5561778970335, 1035.8957739364798, 1345.4285270941918, 498.5477354424653, 891.0880051905077, 1388.9334190308123, 783.1489437102464, 1076.5982511264501, 854.1427384058711, 811.7583601110656, 1692.124794611947, 1145.8141885327866, 992.8607195885957, 1038.809761553648, 867.5138006241115, 1077.6651480647593, 1049.3820328812028, 1244.5921797107565, 1125.7661290890576, 1139.0826978223843, 701.3573916898837, 570.8012863628735, 808.9574811083663, 976.7788714430242, 539.4590913417135, 798.4147221733127, 839.2560401284403, 1123.8200081667767, 1178.4764220763325, 1124.9142803798568, 1451.8804714748494, 1187.5844824936987, 931.4416736788488, 1068.8892314986017, 1111.6659117174274, 711.471159013603, 745.4996230133676, 1015.8962103867555, 886.3730035288961, 865.4185022582595, 799.5639168586329, 1037.8812405850201, 873.4623598089829, 984.0012797908829, 1074.141845292872, 812.8696553547207, 1033.2132505196255, 963.2869060428008, 1153.545761679447, 1020.2620750796686, 887.6081967093193, 971.3707100083102, 656.3501687423657, 1111.9929456476377, 941.8374558350432, 1062.1159853887111, 927.1849290968074, 1019.0169125747888, 1139.3804740779344, 995.9917747544143, 726.856114473391, 783.8853179176899, 921.5164351449965, 1473.598731512672, 964.7208001641251, 1331.4857384583975, 1127.457380720186, 977.5758029043471, 1161.5968522508344, 1129.9677378972822, 869.759776105371, 831.143762266119, 815.4242222475389, 922.1236365494531, 683.0677313679232, 1021.3676398437524, 951.2266928595598, 1179.6664076961702, 970.7702409243017, 956.8387948446915, 885.7502855902893, 958.6165249508565, 967.248559484605, 1121.0632594974477, 962.785291647769, 1007.2726887325368, 1220.2104694916122, 777.466699426009, 978.879560077036, 869.5611562226057, 1005.9841809744266, 1106.6652274649543, 1272.924316641491, 934.9534940349503, 1204.0767588910412, 1019.9141652388407, 1010.858252966312, 1088.3812355488435, 836.4062253121779, 1356.4125428547482, 710.0952106670087, 1058.7224954484072, 1201.7881218163682, 694.9595800722707, 1097.55638829589, 692.9202401238456, 827.7095772390359, 974.6354199349547, 585.174368134671, 732.1108267828815, 1166.6157929696956, 634.3609392416121, 1272.8819243755606, 880.6380784395403, 835.9816704684445, 670.2352287291981, 1115.1790815910758, 1008.6128437988356, 976.6745983933007]"
40,"[673.7150010042957, 1049.6484023409814, 804.7612714439156, 745.3693551470838, 897.5117269135717, 1210.0163321817802, 1280.5111167281534, 994.8800881911523, 1003.3042315208922, 856.7207898953354, 823.215673756779, 859.8947074072147, 1276.1802522580995, 1149.9117566796604, 791.2598625066385, 774.5671470578128, 1105.2729134962722, 906.0909422587172, 1052.5126252257242, 772.2286304316418, 720.3598556232092, 1054.5288047329673, 968.0356788875891, 1079.1650402239152, 986.07984701801, 1085.8192278745262, 1077.7816967328038, 1124.7412574829323, 859.315148720603, 1103.169647650158, 1184.9047793001387, 934.4042387889087, 906.486858656036, 932.2561145286501, 1124.3493782975347, 1090.8872633030107, 1068.275079938535, 763.3357911287784, 884.1504322253982, 1054.7860935449098, 1104.1096918034248, 1118.1366973783015, 1023.8943108267791, 755.770525654756, 864.3077048165345, 836.6350738270239, 867.1674617668469, 926.5678304874805, 1137.3812572056265, 1047.4923139809353, 782.017761475762, 977.3664150129819, 829.4086563021003, 1000.1769911375999, 912.6526897196728, 1069.431764869951, 964.083954277685, 1272.7590015331036, 1010.4471726595312, 1280.4649650642582, 742.8946733259326, 1195.4308815461452, 1241.8114971708421, 804.3000410464077, 983.3925314198312, 888.154179006304, 908.964516876535, 982.7160792021036, 983.6431958290477, 1202.5929138920085, 841.3794532618571, 850.9240298206381, 858.3031652571799, 1099.8176768066296, 1020.1269939975776, 1129.8865278536543, 1110.2754051864579, 1119.5334228808829, 910.5240676360214, 1206.5519182607584, 973.6960877953939, 782.2743532068449, 1399.044051578466, 727.0891986419228, 822.0870422336491, 809.0642229149704, 1085.6894402412197, 919.7294981185379, 1184.1383260693844, 805.0675470445635, 1221.8778740478417, 1056.6130949134078, 1009.5661321784632, 1266.5589620459543, 697.6596152796149, 1017.6922950471256, 937.5993161230579, 1078.7831240242208, 799.9620252450296, 1172.9340438706886, 1201.4633091116245, 1116.0294389960723, 1056.193546525342, 909.2837418259367, 1193.281112960728, 893.3062576241858, 1332.2454643196759, 1188.1623730255099, 765.0754582813497, 1275.9031015585585, 731.3028969608456, 849.7097930023446, 1108.2163351670883, 1091.857363638359, 864.2421075451963, 1110.5269840173517, 723.9061306311371, 955.7164557402259, 1252.229228211206, 887.8714016271161, 1019.1661601121735, 792.2776777461132, 857.1194966095965, 1015.5611968586023, 1052.3536966581355, 1051.7420163529437, 1256.879622831369, 715.711553737527, 1178.5065956625272, 1162.0473685833156, 1180.172504710986, 1487.3378770807933, 1039.8064489915846, 1180.1784107091767, 995.2593259816517, 850.3851773495759, 1064.0510271235187, 989.5011428375997, 855.1928763081469, 1213.5667106567653, 906.354128634588, 1059.009546039911, 1209.6489463160185, 1101.9411091052896, 1094.1206580930652, 1138.964408929732, 775.4049313044255, 1035.6565501727625, 764.1432020671415, 1003.6676710840662, 795.8700422384869, 1070.6945850961713, 889.1169497667036, 1196.2937669937742, 1032.8050414941295, 992.9495124836437, 851.3937802307041, 818.5442046718935, 986.0450478449887, 1044.5180735576623, 1032.3976409027625, 769.4967282227879, 969.0820650125063, 915.9840013446463, 908.3815542507408, 1159.6324149332363, 1050.5897652433132, 1009.9401637486733, 1063.111806409179, 790.028850828762, 1134.2930235098024, 1247.832573026881, 1214.1674004353204, 840.8157940530418, 1061.513598057201, 993.6245712666946, 1260.3795101832425, 789.684756139563, 1362.6953500537074, 901.0386593058423, 943.037531859189, 1008.1932066956332, 1002.8391151124702, 1050.7420795617822, 904.0004021642541, 1013.3610064961844, 879.2441841149182, 1081.787513232793, 1002.1638148243088, 1295.0103506839698, 926.9670698598194, 1018.4903457905932, 1092.236869839863, 1015.3472496184107, 1011.9321589776304, 944.6123124686428, 808.5729205356055, 1004.247284642928, 928.186409188384, 645.1575896273173]"
80,"[928.1590115709139, 974.6561953954957, 950.9710413866371, 1105.3431134580949, 1110.9020293026808, 746.9146853575929, 1146.9935743408105, 1046.5562156019575, 1056.835556098079, 847.603164153067, 1175.1971050795228, 1120.7115147761826, 1169.1025954059064, 948.3197248249121, 982.188216652669, 823.2114314418832, 865.8119135665065, 1137.6071079899903, 907.6836247646423, 1000.9319428441864, 1125.754008445616, 982.2490944116248, 916.7168464393028, 997.1882027665508, 959.2203358767352, 1159.7011993016397, 1091.9744692478644, 834.4295919313558, 1094.1947571164808, 1112.6194766047101, 888.6555266764493, 1013.8365840262438, 1112.7687685490052, 977.6247353652918, 1056.5649926676783, 903.4667387903445, 999.1341139060556, 828.7340835214435, 1063.9894806426073, 988.5248116405463, 985.6336718446828, 851.041909142619, 1180.4633091192964, 1061.8279552533288, 941.1451345407189, 869.4594869292938, 780.3728096929451, 925.6082994818166, 1050.0965408120946, 1103.5555763855284, 931.6502751743285, 896.398894974621, 1012.6184525474549, 1191.5973464840056, 934.6050670415906, 989.982539383127, 1000.1379264458762, 1123.9495482445413, 867.8375629469667, 948.8958774022227, 1083.1903627846364, 861.7863787483807, 903.5778287468411, 1011.7347629530334, 1104.6595793932104, 892.2726981798011, 1152.7619667546653, 1054.0155958604614, 950.5275078475952, 1169.1433974831098, 836.5950901164376, 957.8375290148331, 1005.2662770820443, 1198.5014830809616, 928.4538764102738, 1089.8384958368804, 1105.3896516005323, 926.4556017788893, 943.513047496041, 987.2576104658912, 950.6750272405966, 873.7356654242773, 809.3317287955972, 981.9233992301944, 986.7367473967581, 1008.8181024429102, 1213.0713837788055, 871.5301906067594, 1079.2174302821422, 1013.1953235746306, 979.6477946680823, 853.8843832124016, 913.574347242205, 847.6628107231976, 1146.7403589480823, 1031.3502642451563, 1017.7770453433312, 991.0710312083822, 1105.519984309518, 937.5223617312063, 1089.6462135573804, 1108.0920360839752, 922.6869334901785, 1130.7788103249407, 955.3295662809763, 1052.1523297233123, 849.6922898562921, 988.9599336540699, 878.9246017013029, 1025.1028053925934, 877.9816571986387, 1076.0356116409073, 1162.184888200574, 949.3141724403612, 1075.8927475920282, 926.8859605702909, 1029.4613932507152, 1025.8936483231396, 951.5967176158239, 945.8273683365904, 938.1223592126565, 1011.5000054078985, 1011.7927070771533, 1078.5655277273243, 939.7984574669618, 1024.5109361888408, 822.9017805288256, 1169.8451859030986, 1199.8304592462964, 831.5066021459236, 952.866685926593, 1095.7245513443988, 833.1890590082204, 901.9569388308998, 802.8132759293867, 925.8994848452015, 1138.8709974995415, 893.6618555937118, 1030.3385211086243, 870.1538122844112, 1169.627870378405, 970.7758232414799, 1111.5270914716193, 1424.1241659634168, 1049.6206588940795, 1025.138653253101, 968.577028237483, 1099.6479541684544, 984.9045789190803, 1262.0292787345525, 1134.2684970411244, 1022.8133053193892, 1221.9715230001477, 963.3718354427753, 1021.329341653904, 1028.984156084183, 1058.7997614138408, 1056.7991727663566, 947.1309138040334, 1037.8864315954518, 921.8063235404306, 1143.4929685256689, 987.2306371893714, 830.7577307874527, 1228.2713256683858, 908.2278877012786, 1146.6783757871553, 960.6643690705632, 1031.6465765008381, 1001.8129609954599, 1205.9560807507764, 1128.5863777771522, 1063.8671142987228, 931.8833953776366, 1058.8712584564046, 1039.8259078320768, 1093.8853554740028, 1044.181167181925, 989.1621178735796, 1078.8265471523027, 1002.6365474968776, 925.414529188087, 1245.2601457311298, 1062.6210721064149, 921.2438738722399, 941.2181390702125, 1188.9898676809864, 887.9902831503284, 1137.6544338632925, 1093.3557522990868, 1119.2964303991316, 802.0949880462898, 1061.7270980227706, 964.9760150358027, 935.3766638497328, 989.1391864274516, 1024.6775144815304, 999.5523380634071, 1007.2424237174497, 1148.0645755301334]"
100,"[1030.1284982818242, 1048.097265192435, 1127.8456166671474, 1057.7989335027942, 802.0952257187623, 1194.4579964138595, 1126.2300529341, 892.490185781182, 1016.1208221472795, 1073.5513192386334, 986.3954073368255, 954.3035151168377, 1026.4365039835145, 1074.9693287276411, 1040.0044115641851, 927.5594027796358, 904.9606948754205, 912.4406412782224, 1145.9449683419257, 1025.2762628475805, 930.9733161358869, 1100.4159664643557, 1235.60552130643, 1003.3700515415765, 991.350963399019, 1021.2905256475315, 924.112812809503, 994.992882192719, 959.7843112288875, 909.6621050404091, 916.8173444096625, 866.1195058294999, 946.3082295503957, 1126.2609835123856, 997.7247499914527, 992.6030088272336, 1156.694075365469, 1047.9401699619862, 1031.2495378465724, 906.8660839014219, 1081.4593332975926, 1085.0005017736232, 976.0312295250625, 1139.2986034154715, 855.5785958508084, 1035.0851495263253, 1025.9985085508117, 978.356074998638, 847.3002870056919, 767.9001603780016, 901.5386923309302, 883.1631747270509, 961.8298120797247, 1016.5914819394369, 1006.0883398550683, 1155.379806598336, 952.3114969122001, 896.2415259654609, 954.6497034750271, 1140.293007260544, 1176.8225612445162, 1095.046193606488, 1094.3832416978823, 930.4156934389536, 842.3447364527088, 918.3900426486093, 967.2961713419562, 908.2501428916493, 959.0887790261093, 1146.0570994581074, 1008.1916717809247, 1176.512310764795, 954.205610294097, 861.5183929126424, 967.7849534866925, 844.5497107195616, 1096.1885876311956, 914.3324882336648, 892.3790408732586, 995.8208654754084, 1039.1648203388038, 981.8832497237828, 1103.4835722739488, 939.0109753222604, 968.968635003665, 958.2578088791965, 890.3248404305833, 1114.6114549917456, 1062.905438207918, 904.536969515936, 1156.8098493683274, 1005.6029875503414, 1143.422556130107, 973.1646586066412, 1016.3059603049651, 1039.18351238615, 959.4059581303524, 981.6201835763694, 1055.7599655169038, 1206.517120130024, 874.8178954980899, 1092.93055089743, 1103.5679105903153, 958.0271261016247, 1030.7859100911082, 1028.1778216182017, 941.8329932336352, 1135.8947970578024, 958.7273715065421, 772.9470662817707, 912.8197734529357, 1192.7126472802504, 913.5982437869145, 1087.4410892803528, 904.2439330860202, 1126.5952653433264, 1042.9077160704635, 1186.8658607405662, 954.8150598195558, 1178.6947133276092, 869.8782657112447, 929.5367007816877, 1095.8395833637067, 1022.2664179317063, 898.2731357619649, 930.4869227894995, 1016.3503632128169, 958.6273924734703, 935.7897485302548, 988.6423803395146, 1066.8140023439498, 1097.0760569938836, 1058.2362691257335, 1111.1265103461672, 874.4273884692465, 1069.0092987360115, 1079.5619150996454, 898.5683948452936, 1122.980939289273, 1052.0671320702588, 1069.7170309566925, 1103.972028568947, 930.9083403080854, 1048.3867673615869, 855.1498435487866, 908.5048111304968, 790.6679895463657, 878.2118477336087, 1065.6981794502426, 1091.091858087358, 998.6910654929901, 1047.2661832233214, 1078.1915000695676, 908.6938944753367, 1010.4586932395938, 897.3179699170012, 1215.3065331386965, 1073.3599057609463, 886.9690442339771, 1011.2008285489449, 1105.4711471420703, 885.0016013319022, 953.9499371246621, 1008.2096109272856, 1030.0260866851909, 970.9556588359144, 863.5754996049725, 980.292645242606, 951.0099148103889, 898.6047764921285, 1144.8434422795988, 977.1619151925787, 922.0541567360768, 956.1404720048093, 954.5221396275492, 1058.3984541488946, 1086.4490948332395, 895.1785234135019, 1095.799273907159, 1123.8815114275062, 1084.2253460036873, 1021.042970985473, 1003.188049120759, 938.449175425731, 1015.716157759161, 1023.0608293993415, 990.0473426469545, 757.5765414507821, 1184.690543021121, 987.320168860787, 1013.7852814788491, 1134.9038981099957, 1086.4591727263153, 1013.3209538072186, 1122.7998838669068, 888.821790826709, 1143.8868418266868, 853.3102928101613, 934.4153987515642, 943.6797601836676]"
